hole_number,diameter_mm,h_m,l_m,a_m,b_m,q_kg_m3,charge_weight_calc_kg,primer_weight_kg,explosive_weight_kg,total_charge_weight_kg,capacity_kg_m,charge_length_m,stemming_length_m,subdrilling_m,drill_passport
6127,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6128,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6129,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6130,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6131,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6132,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6133,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6134,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6135,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6136,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6137,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6138,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6139,311.1,10.5,12.5,8.8,7.6,0.93,653.0832000000001,0.75,650,650.75,100.6,6.46868787276342,6.03131212723658,2.0,630-E030525_P_B_1.B
6140,311.1,10.5,12.5,8.8,7.6,0.93,653.0832000000001,0.75,650,650.75,100.6,6.46868787276342,6.03131212723658,2.0,630-E030525_P_B_1.B
6141,311.1,10.5,12.5,8.8,7.6,0.93,653.0832000000001,0.75,650,650.75,100.6,6.46868787276342,6.03131212723658,2.0,630-E030525_P_B_1.B
6143,311.1,10.5,12.5,8.8,7.6,0.93,653.0832000000001,0.75,650,650.75,100.6,6.46868787276342,6.03131212723658,2.0,630-E030525_P_B_1.B
6144,311.1,10.5,12.5,8.8,7.6,0.93,653.0832000000001,0.75,650,650.75,100.6,6.46868787276342,6.03131212723658,2.0,630-E030525_P_B_1.B
6145,311.1,10.5,12.5,8.8,7.6,0.93,653.0832000000001,0.75,650,650.75,100.6,6.46868787276342,6.03131212723658,2.0,630-E030525_P_B_1.B
6146,311.1,10.5,12.5,8.8,7.6,0.93,653.0832000000001,0.75,650,650.75,100.6,6.46868787276342,6.03131212723658,2.0,630-E030525_P_B_1.B
6147,311.1,10.5,12.5,8.8,7.6,0.93,653.0832000000001,0.75,650,650.75,100.6,6.46868787276342,6.03131212723658,2.0,630-E030525_P_B_1.B
6148,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6149,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6150,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
