drill_passport,depth_m,litology_code
630-E030525_P_B_1.B,1.03,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,1.04,quartz-mica foliated schists
630-E030525_P_B_1.B,1.06,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,1.07,quartz-mica foliated schists
630-E030525_P_B_1.B,1.08,quartz-mica foliated schists
630-E030525_P_B_1.B,1.09,quartz-mica foliated schists
630-E030525_P_B_1.B,1.1,quartz-mica foliated schists
630-E030525_P_B_1.B,1.12,quartz-mica foliated schists
630-E030525_P_B_1.B,1.16,quartz-mica foliated schists
630-E030525_P_B_1.B,1.18,quartz-mica foliated schists
630-E030525_P_B_1.B,1.23,quartz-mica foliated schists
630-E030525_P_B_1.B,1.24,quartz-mica foliated schists
630-E040625_P_B_4.A,-3.07,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-2.46,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-2.25,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-2.22,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-2.21,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-2.18,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-2.15,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-2.07,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-2.06,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-2.03,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-2.02,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-2.01,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-1.99,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-1.98,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-1.96,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-1.95,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-1.94,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-1.92,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-1.91,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-1.9,carbonized_quartz-mica_hornfels_shists
630-E040625_P_B_4.A,-1.89,carbonized_quartz-mica_hornfels_shists
